dataset,copy,arm,epsilon,noise_multiplier,matched_ndcg_at_20,private_ndcg_at_20,dp_minus_matched_ndcg,relative_ndcg_loss,released_snr_median
amazon_kindle,1,eps1,1.0,5.888829162483715,0.0123398125792301,0.0020940632500352913,-0.010245749329194809,0.8303002386308574,0.008208583794956918
amazon_kindle,1,eps2p193,2.193078238018666,3.0,0.0123398125792301,0.0025875615906271634,-0.009752250988602936,0.7903078694256307,0.013295464445408196
amazon_kindle,1,eps4,3.9999999999999876,1.8856350365894983,0.0123398125792301,0.003121949057599669,-0.009217863521630431,0.747001906426487,0.017635961987827783
amazon_kindle,1,eps8,8.000000000000085,1.2158932001187188,0.0123398125792301,0.003853836383948403,-0.008485976195281696,0.6876908495000132,0.023108239879834583
amazon_kindle,2,eps1,1.0,5.888829162483715,0.012953974633419515,0.001907162797134101,-0.011046811836285414,0.8527739283807244,0.008153907445985396
amazon_kindle,2,eps2p193,2.193078238018666,3.0,0.012953974633419515,0.002685926120446333,-0.010268048512973181,0.792656215836875,0.013185814168690942
amazon_kindle,2,eps4,3.9999999999999876,1.8856350365894983,0.012953974633419515,0.003368270719014363,-0.009585703914405152,0.7399816801922185,0.017310866699624387
amazon_kindle,2,eps8,8.000000000000085,1.2158932001187188,0.012953974633419515,0.004024929477640107,-0.008929045155779407,0.6892899985108563,0.02254335886968626
amazon_kindle,3,eps1,1.0,5.888829162483715,0.012664907392627515,0.002215691240830282,-0.010449216151797234,0.8250527088638581,0.00830607378260673
amazon_kindle,3,eps2p193,2.193078238018666,3.0,0.012664907392627515,0.0027343633481760167,-0.009930544044451498,0.7840992228835608,0.01329881090607756
amazon_kindle,3,eps4,3.9999999999999876,1.8856350365894983,0.012664907392627515,0.0033509742188713052,-0.00931393317375621,0.7354126552222584,0.017429264458739414
amazon_kindle,3,eps8,8.000000000000085,1.2158932001187188,0.012664907392627515,0.004033215720965434,-0.00863169167166208,0.6815440021840786,0.02284017322407838
ml1m,1,eps1,1.0,5.888829162483715,0.2598086112887796,0.2609044391155618,0.0010958278267822474,-0.004217827197283475,0.04807947407299624
ml1m,1,eps2p193,2.193078238018666,3.0,0.2598086112887796,0.26026495664422117,0.0004563453554415897,-0.0017564673979737488,0.09443801955593883
ml1m,1,eps4,3.9999999999999876,1.8856350365894983,0.2598086112887796,0.2598736631600541,6.505187127453516e-05,-0.00025038381503916796,0.14791654140255028
ml1m,1,eps8,8.000000000000085,1.2158932001187188,0.2598086112887796,0.25962688539551415,-0.00018172589326542754,0.000699460623587389,0.23138359180210694
ml1m,2,eps1,1.0,5.888829162483715,0.2601630819189576,0.2588977589076217,-0.001265323011335917,0.004863576346047727,0.048828313889225164
ml1m,2,eps2p193,2.193078238018666,3.0,0.2601630819189576,0.2596492149435805,-0.0005138669753770864,0.001975172540188308,0.09410689932370958
ml1m,2,eps4,3.9999999999999876,1.8856350365894983,0.2601630819189576,0.2600340058942163,-0.00012907602474127033,0.0004961350541714538,0.147386566217809
ml1m,2,eps8,8.000000000000085,1.2158932001187188,0.2601630819189576,0.2601095409010685,-5.35410178890694e-05,0.00020579790758223915,0.22925672546971976
ml1m,3,eps1,1.0,5.888829162483715,0.25896374238494474,0.2580852235838505,-0.0008785188010942413,0.0033924393932658337,0.04835686324601916
ml1m,3,eps2p193,2.193078238018666,3.0,0.25896374238494474,0.2589016797184438,-6.206266650093939e-05,0.0002396577448617876,0.09436430034307378
ml1m,3,eps4,3.9999999999999876,1.8856350365894983,0.25896374238494474,0.258958988308298,-4.754076646740213e-06,1.8358078250457766e-05,0.15070330149302238
ml1m,3,eps8,8.000000000000085,1.2158932001187188,0.25896374238494474,0.25902409166260987,6.034927766512821e-05,-0.00023304141772650944,0.23350993970122857
netflix5k5k,1,eps1,1.0,5.888829162483715,0.16868462455282543,0.16781986747275313,-0.0008647570800723037,0.005126472447413266,0.015538219070314866
netflix5k5k,1,eps2p193,2.193078238018666,3.0,0.16868462455282543,0.17092595459670507,0.0022413300438796357,-0.013287103373062603,0.02254796776526427
netflix5k5k,1,eps4,3.9999999999999876,1.8856350365894983,0.16868462455282543,0.1702954954600948,0.0016108709072693572,-0.00954960128428839,0.02703833615748718
netflix5k5k,1,eps8,8.000000000000085,1.2158932001187188,0.16868462455282543,0.1704279014674055,0.0017432769145800664,-0.010334533566419557,0.03193809279772976
netflix5k5k,2,eps1,1.0,5.888829162483715,0.16702914989043136,0.15518617968645898,-0.011842970203972375,0.0709036130025279,0.011063286830092025
netflix5k5k,2,eps2p193,2.193078238018666,3.0,0.16702914989043136,0.16373739084592545,-0.003291759044505904,0.01970769202061584,0.014488720730375342
netflix5k5k,2,eps4,3.9999999999999876,1.8856350365894983,0.16702914989043136,0.1661663683960191,-0.000862781494412268,0.0051654546226107545,0.017302840666448945
netflix5k5k,2,eps8,8.000000000000085,1.2158932001187188,0.16702914989043136,0.16705755760308097,2.840771264961406e-05,-0.00017007637689747668,0.021877407624296668
netflix5k5k,3,eps1,1.0,5.888829162483715,0.17044735338145342,0.16445587908489065,-0.005991474296562771,0.03515146570304395,0.013726283463132915
netflix5k5k,3,eps2p193,2.193078238018666,3.0,0.17044735338145342,0.16937265975294213,-0.0010746936285112862,0.00630513532296495,0.019268162292585114
netflix5k5k,3,eps4,3.9999999999999876,1.8856350365894983,0.17044735338145342,0.16966631318066772,-0.0007810402007857042,0.004582295854355545,0.022377548033187228
netflix5k5k,3,eps8,8.000000000000085,1.2158932001187188,0.17044735338145342,0.1693221712759179,-0.0011251821055355271,0.006601346886375037,0.02575243915727702
