dataset,copy,arm,epsilon,users,margin_at_20_median,local_boundary_perturbation_median,margin_to_local_perturbation_median,full_catalog_linf_perturbation_median,conservative_stability_ratio_median,conservative_certificate_fraction,top20_replacement_fraction_mean,top20_replacement_fraction_median,top20_jaccard_mean,best_target_absolute_rank_change_median,best_target_hit_loss_fraction,best_target_hit_gain_fraction
amazon_kindle,1,eps1,1.0,9860,1.1104028284345576e-06,0.008501848473938999,0.00013106159417320177,0.022720198021670267,2.386847129398164e-05,0.0,0.9966632860040568,1.0,0.001713735892234878,683.0,0.10872210953346856,0.021399594320486815
amazon_kindle,1,eps2p193,2.193078238018666,9860,1.1104028284345576e-06,0.003988431388084943,0.0002787018810362013,0.010427634474350803,5.1619364600664264e-05,0.0,0.9943610547667344,1.0,0.0029015288703556023,653.0,0.10628803245436105,0.023935091277890466
amazon_kindle,1,eps4,3.9999999999999876,9860,1.1104028284345576e-06,0.0019659817025495826,0.0005652871372305299,0.0050361933592863225,0.00010603533356381864,0.0,0.9907200811359026,1.0,0.0047849699072075496,629.5,0.10365111561866126,0.025253549695740365
amazon_kindle,1,eps8,8.000000000000085,9860,1.1104028284345576e-06,0.0009959081502900827,0.0011149791715694324,0.002506548121808205,0.0002121751386256514,0.0,0.983762677484787,1.0,0.008411624211773671,597.0,0.09898580121703854,0.026774847870182555
amazon_kindle,2,eps1,1.0,9861,1.0985975337336697e-06,0.008707480336149934,0.00012743739003584785,0.023149393926291173,2.350883937148886e-05,0.0,0.9962275631274717,1.0,0.0019392471796679763,681.0,0.11155055268228374,0.020383328262853665
amazon_kindle,2,eps2p193,2.193078238018666,9861,1.0985975337336697e-06,0.004096384418403766,0.0002718069679262375,0.010619169499061684,5.096764344477052e-05,0.0,0.9931092181320355,1.0,0.0035491064424822607,652.0,0.10931954162863806,0.024541121590102424
amazon_kindle,2,eps4,3.9999999999999876,9861,1.0985975337336697e-06,0.002003148556800612,0.0005564069248616804,0.005154214126650987,0.00010467030231316361,0.0,0.9894584727715243,1.0,0.0054398107654156196,627.0,0.10648007301490721,0.028090457357265997
amazon_kindle,2,eps8,8.000000000000085,9861,1.0985975337336697e-06,0.0010054061522386444,0.0010942672805193663,0.0025582049481830574,0.00020855799401943618,0.0,0.9827248757732483,1.0,0.008947860692372564,606.0,0.10303214684109117,0.03113274515769192
amazon_kindle,3,eps1,1.0,9860,1.245601128098761e-06,0.008699790207926106,0.00014548221110521903,0.022866596953216776,2.633859012963156e-05,0.0,0.9961561866125761,1.0,0.001975429289403881,650.0,0.11744421906693712,0.021095334685598377
amazon_kindle,3,eps2p193,2.193078238018666,9860,1.245601128098761e-06,0.0040501185953720036,0.0003131719902639149,0.010511747595801275,5.737539741396751e-05,0.0,0.9935902636916835,1.0,0.003298607835812918,625.5,0.1152129817444219,0.024239350912778904
