dataset,setting,margin_median_across_copies,linf_perturbation_median_across_copies,stability_ratio_median_across_copies,replacement_fraction_mean
amazon_kindle,common_lr3,4.067251403044067e-07,0.0015393973086836985,0.00012565214398852658,0.9954633067659397
amazon_kindle,high_lr7_stress,1.1104028284345576e-06,0.010511747595801275,5.1619364600664264e-05,0.9936868455301511
ml1m,common_lr3,0.0019661216842341567,0.016851025745653184,0.06147783903283976,0.03383647807714196
ml1m,high_lr7_stress,0.0022328924235362757,0.02783702338952306,0.03647716388190543,0.055747349864456085
netflix5k5k,common_lr3,8.54463671440892e-05,0.020815656817381904,0.002083746063273597,0.24526015449802974
netflix5k5k,high_lr7_stress,0.0005678273143025526,0.014756078205325495,0.01865641678680234,0.19020575752126057
