dataset,setting,cutoff,n_copies,matched_mean,matched_sd,dp_mean,dp_sd,paired_difference_mean,paired_difference_sd,relative_loss_percent,all_copies_dp_below_matched
amazon_kindle,common_lr3,5,3,0.0021517190135063205,0.00013489515670507245,0.0012799581887059685,0.00028896631863752455,-0.0008717608248003521,0.0002927185483303642,40.514621998890995,True
amazon_kindle,common_lr3,10,3,0.002092863708414748,9.850305472819512e-05,0.001353101463949167,0.0002312864410627842,-0.0007397622444655812,0.0002449176521122576,35.346890554374326,True
amazon_kindle,common_lr3,20,3,0.002440996718463081,5.5519698519272204e-05,0.0017222143230444693,0.0002095762209094267,-0.0007187823954186119,0.0002581234935180741,29.446266354310257,True
amazon_kindle,common_lr3,50,3,0.0037094498231976408,0.00016756792723638506,0.0027418061678573216,0.00020040459628048652,-0.000967643655340319,0.00035768801425596825,26.085907653717378,True
amazon_kindle,high_lr7_stress,5,3,0.012238647098254134,0.000716341386355177,0.0023082183517083867,2.2991349991281684e-05,-0.009930428746545749,0.0007349689005285023,81.13992230368618,True
amazon_kindle,high_lr7_stress,10,3,0.01170402046837288,0.0004079797292630792,0.0022875185114297762,0.00010008628883240736,-0.009416501956943104,0.0004414897876677718,80.45527588053002,True
amazon_kindle,high_lr7_stress,20,3,0.012652898201759043,0.00030725709544374553,0.0026692836864165045,7.480251976160946e-05,-0.00998361451534254,0.0002619620730126139,78.90377647987863,True
amazon_kindle,high_lr7_stress,50,3,0.016329873612805,0.0006049175485214871,0.004008221852475583,0.0001472093350359758,-0.012321651760329419,0.0006102187464311717,75.45466702612717,True
ml1m,common_lr3,5,3,0.29279043313554837,0.0009168721184107472,0.29383963735002994,0.0017724967265120822,0.001049204214481551,0.0008855696039428599,-0.3583464812171088,False
ml1m,common_lr3,10,3,0.27254592708059017,0.0012224520003572352,0.2730593517733069,0.001459434619656564,0.0005134246927167574,0.00031130345742047153,-0.1883809815895509,False
ml1m,common_lr3,20,3,0.2596451451975606,0.0006161531479229353,0.25960528376874853,0.0006826993885897648,-3.986142881214535e-05,0.0004854870368344945,0.015352271956304552,False
ml1m,common_lr3,50,3,0.2558873394614511,0.0007078016437760407,0.2558550812033475,0.0008194750198971149,-3.225825810354577e-05,0.0004903570491714147,0.012606429912278219,False
ml1m,high_lr7_stress,5,3,0.2921284034476375,0.0005431386830547613,0.2952857250838538,0.00270315064610639,0.0031573216362162557,0.0022341442428246276,-1.0807992646227658,False
ml1m,high_lr7_stress,10,3,0.2721333709898958,0.0014089985077160602,0.27352827365093796,0.0035830190110680642,0.0013949026610421966,0.002252273453409786,-0.5125805247508337,False
ml1m,high_lr7_stress,20,3,0.2585479252067049,0.0007588738102998791,0.2600024548187569,0.001053547977232549,0.0014545296120520024,0.0005588857369920895,-0.5625764008313466,False
ml1m,high_lr7_stress,50,3,0.2555726268713066,0.00042742167689733645,0.25640072566368227,0.0007010450378642589,0.0008280987923756459,0.00029034452413609975,-0.3240170132901803,False
netflix5k5k,common_lr3,5,3,0.1748381375921312,0.002355629509932783,0.17564724198107573,0.0018574305292868418,0.0008091043889445296,0.002034068295027907,-0.4627733972046927,False
netflix5k5k,common_lr3,10,3,0.17241938523071432,0.0012476731613918083,0.17161433358240216,0.0010777483301601424,-0.0008050516483121642,0.0003236377206077196,0.4669148119481552,True
netflix5k5k,common_lr3,20,3,0.17199967990289014,0.0009091633618282504,0.17289192282334506,0.0024698383867430267,0.0008922429204549128,0.0019109264529390754,-0.5187468493887176,False
netflix5k5k,common_lr3,50,3,0.21280010881238653,0.0013071623841863634,0.20960554419233923,0.00298204728104381,-0.0031945646200473208,0.002298544429169141,1.5012044109731937,True
netflix5k5k,high_lr7_stress,5,3,0.17584161917063876,0.0004623229121560418,0.17297860388638034,0.0023361149351961256,-0.002863015284258419,0.001902719742494761,1.628178412916066,True
netflix5k5k,high_lr7_stress,10,3,0.172241461337635,0.0015862917639303295,0.16880573707696786,0.001566864121244716,-0.0034357242606671743,0.00021984582873320953,1.994713836021326,True
netflix5k5k,high_lr7_stress,20,3,0.18286449532637916,0.0008760857192236401,0.1772287085513827,0.0007059279801667094,-0.00563578677499646,0.001194879022520147,3.0819469711370853,True
netflix5k5k,high_lr7_stress,50,3,0.22055576028171742,0.0008673822866703288,0.21232062081345235,0.00045654825628693805,-0.008235139468265115,0.00046187006464760164,3.7338129177611443,True
