dataset,setting,copy,arm,cutoff,ndcg,recall
amazon_kindle,high_lr7_stress,1,user_dp,50,0.0039115814474892366,0.006209729426716558
amazon_kindle,high_lr7_stress,2,matched,5,0.01303713636500114,0.0046004309363635865
amazon_kindle,high_lr7_stress,2,matched,10,0.012172972970103037,0.0075184039741757625
amazon_kindle,high_lr7_stress,2,matched,20,0.012953974633419515,0.012262551680603322
amazon_kindle,high_lr7_stress,2,matched,50,0.0163330116414717,0.022073045511342843
amazon_kindle,high_lr7_stress,2,user_dp,5,0.00229170982350096,0.0008310067135074478
amazon_kindle,high_lr7_stress,2,user_dp,10,0.002272253430661361,0.0014799463268673758
amazon_kindle,high_lr7_stress,2,user_dp,20,0.002685926120446333,0.0028570882226720694
amazon_kindle,high_lr7_stress,2,user_dp,50,0.004177645574384133,0.006902858893297737
amazon_kindle,high_lr7_stress,3,matched,5,0.011652436826399576,0.004349182380214012
amazon_kindle,high_lr7_stress,3,matched,10,0.011430683918611037,0.007476105987054031
amazon_kindle,high_lr7_stress,3,matched,20,0.012664907392627515,0.012633695525046323
amazon_kindle,high_lr7_stress,3,matched,50,0.016933216042479212,0.024440580327275842
amazon_kindle,high_lr7_stress,3,user_dp,5,0.002334478269000475,0.0009748064538107616
amazon_kindle,high_lr7_stress,3,user_dp,10,0.0023943604172695417,0.0016982034642084951
amazon_kindle,high_lr7_stress,3,user_dp,20,0.0027343633481760167,0.0028929201464649606
amazon_kindle,high_lr7_stress,3,user_dp,50,0.0039354385355533815,0.006153103367761591
netflix5k5k,common_lr3,1,matched,5,0.17647241750988507,0.05366630800277808
netflix5k5k,common_lr3,1,matched,10,0.17261607364136453,0.09521833178701596
netflix5k5k,common_lr3,1,matched,20,0.17210342985905408,0.15421744077696614
netflix5k5k,common_lr3,1,matched,50,0.21232015027112708,0.30927394261109575
netflix5k5k,common_lr3,1,user_dp,5,0.17493760066967848,0.05033288975510841
netflix5k5k,common_lr3,1,user_dp,10,0.17207020074096174,0.09421621226076465
netflix5k5k,common_lr3,1,user_dp,20,0.17503933001315478,0.1622336564497113
netflix5k5k,common_lr3,1,user_dp,50,0.21124583478784825,0.30195388711892224
netflix5k5k,common_lr3,2,matched,5,0.17213795826805608,0.05044186036751679
netflix5k5k,common_lr3,2,matched,10,0.17108505009925168,0.09508304682383142
netflix5k5k,common_lr3,2,matched,20,0.17104309227515757,0.1548102384469844
netflix5k5k,common_lr3,2,matched,50,0.21180077240586384,0.3134770746062111
netflix5k5k,common_lr3,2,user_dp,5,0.174249249161816,0.050644956762865505
netflix5k5k,common_lr3,2,user_dp,10,0.17038356386821643,0.09266214539641995
netflix5k5k,common_lr3,2,user_dp,20,0.1701929243544267,0.15265826892432144
netflix5k5k,common_lr3,2,user_dp,50,0.20616343568773107,0.29434922615615855
netflix5k5k,common_lr3,3,matched,5,0.17590403699845245,0.04994556015551826
netflix5k5k,common_lr3,3,matched,10,0.17355703195152677,0.09171420045427796
netflix5k5k,common_lr3,3,matched,20,0.1728525175744588,0.1527268597827965
netflix5k5k,common_lr3,3,matched,50,0.21427940376016874,0.3124244492307617
netflix5k5k,common_lr3,3,user_dp,5,0.1777548761117327,0.05064183138856098
netflix5k5k,common_lr3,3,user_dp,10,0.1723892361380283,0.09001054710154743
netflix5k5k,common_lr3,3,user_dp,20,0.1734435141024537,0.1557864111552585
netflix5k5k,common_lr3,3,user_dp,50,0.21140736210143837,0.3014687410857973
netflix5k5k,high_lr7_stress,1,matched,5,0.17537989091408435,0.053608405841095816
netflix5k5k,high_lr7_stress,1,matched,10,0.1706200288234479,0.10106285840248758
netflix5k5k,high_lr7_stress,1,matched,20,0.18281008074236682,0.18625035753161756
netflix5k5k,high_lr7_stress,1,matched,50,0.22086427913123882,0.3294850059045195
netflix5k5k,high_lr7_stress,1,user_dp,5,0.17033835956525525,0.05130606170153911
netflix5k5k,high_lr7_stress,1,user_dp,10,0.16710298801240064,0.09545850543427556
netflix5k5k,high_lr7_stress,1,user_dp,20,0.17642749189213916,0.16988130002919669
netflix5k5k,high_lr7_stress,1,user_dp,50,0.21230805778939135,0.3051941940828575
netflix5k5k,high_lr7_stress,2,matched,5,0.17584043214522596,0.05422770024566565
netflix5k5k,high_lr7_stress,2,matched,10,0.1723142487283967,0.10111048200492793
netflix5k5k,high_lr7_stress,2,matched,20,0.18201688522188897,0.18454959157543108
netflix5k5k,high_lr7_stress,2,matched,50,0.21957629535476536,0.32529539656030604
netflix5k5k,high_lr7_stress,2,user_dp,5,0.17381990934503969,0.05097506068114797
netflix5k5k,high_lr7_stress,2,user_dp,10,0.16912744436297258,0.09575916216056432
netflix5k5k,high_lr7_stress,2,user_dp,20,0.17775921380897128,0.17488812437854032
netflix5k5k,high_lr7_stress,2,user_dp,50,0.21187048372579775,0.3034311814515863
netflix5k5k,high_lr7_stress,3,matched,5,0.17630453445260597,0.05156900841654733
netflix5k5k,high_lr7_stress,3,matched,10,0.17379010646106044,0.09984368377525947
netflix5k5k,high_lr7_stress,3,matched,20,0.1837665200148817,0.1844518375925221
netflix5k5k,high_lr7_stress,3,matched,50,0.22122670635914815,0.3271847430943567
netflix5k5k,high_lr7_stress,3,user_dp,5,0.17477754274884608,0.050042288611337825
netflix5k5k,high_lr7_stress,3,user_dp,10,0.1701867788555303,0.09269288444543763
netflix5k5k,high_lr7_stress,3,user_dp,20,0.17749941995303767,0.17134773208001927
netflix5k5k,high_lr7_stress,3,user_dp,50,0.21278332092516788,0.3032232840225161
