dataset,setting,user_learning_rate,item_learning_rate,n_copies,matched_mean,matched_sd,dp_mean,dp_sd,paired_difference_mean,paired_difference_sd,relative_loss_percent,all_copies_dp_below_matched
amazon_kindle,common_lr3,3.0,0.3,3,0.002440996718463081,5.5519698519272204e-05,0.0017222143230444693,0.0002095762209094267,-0.0007187823954186119,0.0002581234935180741,29.446266354310257,True
amazon_kindle,high_lr7_stress,7.0,0.7,3,0.012652898201759043,0.00030725709544374553,0.0026692836864165045,7.480251976160946e-05,-0.00998361451534254,0.0002619620730126139,78.90377647987863,True
ml1m,common_lr3,3.0,0.3,3,0.2596451451975606,0.0006161531479229353,0.25960528376874853,0.0006826993885897648,-3.986142881214535e-05,0.0004854870368344945,0.015352271956304552,False
ml1m,high_lr7_stress,7.0,0.7,3,0.2585479252067049,0.0007588738102998791,0.2600024548187569,0.001053547977232549,0.0014545296120520024,0.0005588857369920895,-0.5625764008313466,False
netflix5k5k,common_lr3,3.0,0.3,3,0.17199967990289014,0.0009091633618282504,0.17289192282334506,0.0024698383867430267,0.0008922429204549128,0.0019109264529390754,-0.5187468493887176,False
netflix5k5k,high_lr7_stress,7.0,0.7,3,0.18286449532637916,0.0008760857192236401,0.1772287085513827,0.0007059279801667094,-0.00563578677499646,0.001194879022520147,3.0819469711370853,True
