dataset,copy,seed,arm,status,epsilon,delta,ndcg_at_20,recall_at_20,precision_at_20,catalog_coverage_at_20,released_snr_median,clip_rate_mean,final_item_factor_norm,elapsed_seconds
ml1m,2,20260822,user_dp_full_catalog,confirmatory_user_level_dp_result,2.193078238018666,1e-05,0.2596492149435805,0.12493278221032526,0.22461079827757313,0.05465587044534413,0.09410689932370958,0.5816299425317226,10.607807562206238,17.03754819999449
ml1m,3,20260823,matched_clip_no_noise,confirmatory_control_not_private,,1e-05,0.25896374238494474,0.12371170022153219,0.22512009276130246,0.02479757085020243,,0.5237617807933769,8.10215786092235,17.394507999997586
ml1m,3,20260823,reference_full_nonprivate,confirmatory_control_not_private,,1e-05,0.3459750164846191,0.16131547930536716,0.29240516812986367,0.0652834008097166,,0.0,21.69247482909209,30.598580600009882
ml1m,3,20260823,user_dp_full_catalog,confirmatory_user_level_dp_result,2.193078238018666,1e-05,0.2589016797184438,0.12353424918214793,0.22498757661089672,0.03694331983805668,0.09436430034307378,0.5558143980603047,10.567732780393362,17.79259379999712
netflix5k5k,1,20260821,matched_clip_no_noise,confirmatory_control_not_private,,1e-05,0.16868462455282543,0.14893138497836197,0.12492997198879602,0.6332,,0.016433813919004944,1.5445158069639915,8.68454919999931
netflix5k5k,1,20260821,reference_full_nonprivate,confirmatory_control_not_private,,1e-05,0.17383730176917905,0.1549850509115232,0.12612583494936488,0.1046,,0.0,12.279238800816469,13.221112700004596
netflix5k5k,1,20260821,user_dp_full_catalog,confirmatory_user_level_dp_result,2.193078238018666,1e-05,0.17092595459670507,0.15381165491198207,0.12482223658694305,0.576,0.02254796776526427,0.07590815414790619,8.551636078039039,8.751342900010059
netflix5k5k,2,20260822,matched_clip_no_noise,confirmatory_control_not_private,,1e-05,0.16702914989043136,0.1459048924143702,0.12487572941430813,0.5814,,0.0215144199630561,1.7493253898999057,8.395848200001637
netflix5k5k,2,20260822,reference_full_nonprivate,confirmatory_control_not_private,,1e-05,0.17238232995478833,0.15697146456610903,0.12697212016425408,0.1154,,0.0,12.221002823168318,12.72821689999546
netflix5k5k,2,20260822,user_dp_full_catalog,confirmatory_user_level_dp_result,2.193078238018666,1e-05,0.16373739084592545,0.13980216279230176,0.12285498162956654,0.6054,0.014488720730375342,0.05064593644119641,8.32551725351652,8.434535599997616
netflix5k5k,3,20260823,matched_clip_no_noise,confirmatory_control_not_private,,1e-05,0.17044735338145342,0.14953784015367907,0.12635222847252361,0.622,,0.012116150352872612,1.3621683494944792,8.394119000004139
netflix5k5k,3,20260823,reference_full_nonprivate,confirmatory_control_not_private,,1e-05,0.1750154502942493,0.15563164615514558,0.12773691042838678,0.1072,,0.0,12.139792880571767,12.809632599994075
netflix5k5k,3,20260823,user_dp_full_catalog,confirmatory_user_level_dp_result,2.193078238018666,1e-05,0.16937265975294213,0.14697349967942733,0.12541107745564767,0.593,0.019268162292585114,0.06828231867249943,8.483415000057589,8.879690899993875
