dataset,copy,matched_clip_no_noise,reference_full_nonprivate,user_dp_full_catalog,dp_minus_matched,dp_relative_loss_vs_matched,matched_minus_reference
amazon_kindle,1,0.0123398125792301,0.057224349976833545,0.0025875615906271634,-0.009752250988602936,0.7903078694256307,-0.044884537397603445
amazon_kindle,2,0.012953974633419515,0.05827384597507898,0.002685926120446333,-0.010268048512973181,0.792656215836875,-0.04531987134165946
amazon_kindle,3,0.012664907392627515,0.05686239793396321,0.0027343633481760167,-0.009930544044451498,0.7840992228835608,-0.04419749054133569
ml1m,1,0.2598086112887796,0.3471329476543462,0.26026495664422117,0.0004563453554415897,-0.0017564673979737488,-0.08732433636556663
ml1m,2,0.2601630819189576,0.34905571374062067,0.2596492149435805,-0.0005138669753770864,0.001975172540188308,-0.08889263182166307
ml1m,3,0.25896374238494474,0.3459750164846191,0.2589016797184438,-6.206266650093939e-05,0.0002396577448617876,-0.08701127409967435
netflix5k5k,1,0.16868462455282543,0.17383730176917905,0.17092595459670507,0.0022413300438796357,-0.013287103373062603,-0.005152677216353624
netflix5k5k,2,0.16702914989043136,0.17238232995478833,0.16373739084592545,-0.003291759044505904,0.01970769202061584,-0.005353180064356977
netflix5k5k,3,0.17044735338145342,0.1750154502942493,0.16937265975294213,-0.0010746936285112862,0.00630513532296495,-0.004568096912795888
