dataset,arm,ndcg_at_20_mean,ndcg_at_20_std,ndcg_at_20_min,ndcg_at_20_max,recall_at_20_mean,recall_at_20_std,recall_at_20_min,recall_at_20_max,precision_at_20_mean,precision_at_20_std,precision_at_20_min,precision_at_20_max,catalog_coverage_at_20_mean,catalog_coverage_at_20_std,catalog_coverage_at_20_min,catalog_coverage_at_20_max,released_snr_median_mean,released_snr_median_std,released_snr_median_min,released_snr_median_max,clip_rate_mean_mean,clip_rate_mean_std,clip_rate_mean_min,clip_rate_mean_max
amazon_kindle,matched_clip_no_noise,0.012652898201759043,0.00030725709544374553,0.0123398125792301,0.012953974633419515,0.012241454994288317,0.00040320302526174927,0.011828117777215309,0.012633695525046323,0.008304320007536663,0.00015981635138809488,0.008209939148072887,0.008488843813387258,0.4966660765917272,0.014619456439739725,0.4811471056824217,0.5101787927066738,,,,,0.010889783374307764,0.0006012373511911313,0.010322829500949315,0.0115202600683071
amazon_kindle,reference_full_nonprivate,0.05745353129529191,0.0007331026195152526,0.05686239793396321,0.05827384597507898,0.058993286984041104,0.0010051014705595098,0.05796522727178577,0.059973738202403606,0.035840561423805775,0.0003506145605935819,0.03549188640973762,0.0361930838657352,0.08626895615743198,0.005357916193122786,0.08081076296689679,0.09152062311913613,,,,,0.0,0.0,0.0,0.0
amazon_kindle,user_dp_full_catalog,0.0026692836864165045,7.480251976160942e-05,0.0025875615906271634,0.0027343633481760167,0.0028381760276981935,6.62564797289293e-05,0.0027645197139575493,0.0028929201464649606,0.0017088658108355321,5.359935441817983e-05,0.0016480730223123819,0.0017493154852449145,0.7283885053401783,0.0022116005584363525,0.7259691980881572,0.7303062488936095,0.013260029840058899,6.429443294096595e-05,0.013185814168690942,0.01329881090607756,0.1538742732120126,0.001372294757528001,0.15300240825112418,0.1554561033837976
ml1m,matched_clip_no_noise,0.2596451451975606,0.0006161531479229429,0.25896374238494474,0.2601630819189576,0.12450824387748512,0.000723481545815417,0.12371170022153219,0.12512460788839422,0.22530365815427192,0.0001671761989974362,0.22512009276130246,0.22544716793640046,0.03466599190283401,0.008949766793434916,0.02479757085020243,0.04225708502024292,,,,,0.5299575942984462,0.011552181125104697,0.5228250655761331,0.5432859365258288
ml1m,reference_full_nonprivate,0.34738789262652864,0.0015560917710452443,0.3459750164846191,0.34905571374062067,0.16219930015878126,0.0010258139471268583,0.16131547930536716,0.16332417455117226,0.29286935095635497,0.0004105516671899476,0.29240516812986367,0.2931848294137105,0.06545209176788125,0.00029218131031863225,0.0652834008097166,0.06578947368421052,,,,,0.0,0.0,0.0,0.0
ml1m,user_dp_full_catalog,0.25960528376874853,0.0006826993885897925,0.2589016797184438,0.26026495664422117,0.12428522834710981,0.0007049796114120715,0.12353424918214793,0.12493278221032526,0.2251546236652685,0.0006438130161649741,0.22461079827757313,0.2258654961073357,0.042510121457489884,0.010530694355609724,0.035931174089068825,0.05465587044534413,0.09430307307424073,0.00017384399870129107,0.09410689932370958,0.09443801955593883,0.5664774565714724,0.013480608413731537,0.5558143980603047,0.5816299425317226
netflix5k5k,matched_clip_no_noise,0.16872037594157008,0.0017093821684622556,0.16702914989043136,0.17044735338145342,0.14812470584880374,0.0019461823482618324,0.1459048924143702,0.14953784015367907,0.12538597662520926,0.000837238041748329,0.12487572941430813,0.12635222847252361,0.6122,0.02725509126750446,0.5814,0.6332,,,,,0.01668812807831122,0.004704293218448693,0.012116150352872612,0.0215144199630561
netflix5k5k,reference_full_nonprivate,0.17374502733940556,0.0013189831721114836,0.17238232995478833,0.1750154502942493,0.1558627205442593,0.0010131664876807964,0.1549850509115232,0.15697146456610903,0.1269449551806686,0.0008058811959751204,0.12612583494936488,0.12773691042838678,0.10906666666666666,0.005636783953047461,0.1046,0.1154,,,,,0.0,0.0,0.0,0.0
netflix5k5k,user_dp_full_catalog,0.16801200173185757,0.0037825130386440245,0.16373739084592545,0.17092595459670507,0.14686243912790373,0.007005406354910812,0.13980216279230176,0.15381165491198207,0.12436276522405243,0.0013385596430547189,0.12285498162956654,0.12541107745564767,0.5914666666666667,0.014759855464513688,0.576,0.6054,0.01876828359607491,0.0040528107192120445,0.014488720730375342,0.02254796776526427,0.06494546975386735,0.012957462382528163,0.05064593644119641,0.07590815414790619
