setting,copy,seed,arm,user_learning_rate,item_learning_rate,ndcg@20,recall@20,one_call@20,elapsed_seconds
equalized_both_lr3,1,20260821,matched,3.0,0.3,0.002448021617027337,0.0025015387087480214,0.03103448275862069,8.01797460007947
equalized_both_lr3,1,20260821,user_dp,3.0,0.3,0.001829155023927384,0.0021444802405149173,0.024036511156186612,7.928844899986871
equalized_both_lr3,2,20260822,matched,3.0,0.3,0.0023822988995274635,0.0025188970290195675,0.031741202717777105,7.763003999949433
equalized_both_lr3,2,20260822,user_dp,3.0,0.3,0.0018567465184413064,0.0019940217942768074,0.02423689281005983,7.860687499982305
equalized_both_lr3,3,20260823,matched,3.0,0.3,0.002492669638834443,0.0027755484398624243,0.03225152129817444,7.714377299998887
equalized_both_lr3,3,20260823,user_dp,3.0,0.3,0.0014807414267647174,0.0017514572262548067,0.02079107505070994,7.615482300054282
reduced_item_only,1,20260821,matched,7.0,0.3,0.0043597681818499994,0.004135971169783443,0.04766734279918864,7.765417999937199
reduced_item_only,1,20260821,user_dp,7.0,0.3,0.0019917301288667,0.0022293361349581655,0.02535496957403651,7.879643899970688
reduced_item_only,2,20260822,matched,7.0,0.3,0.003990644573564676,0.003992840538415479,0.04583713619308387,7.733916099998169
reduced_item_only,2,20260822,user_dp,7.0,0.3,0.0019564648355921985,0.002170635068130023,0.0254538079302302,7.6574966999469325
reduced_item_only,3,20260823,matched,7.0,0.3,0.004685363981660539,0.004517005261482779,0.05365111561866126,7.7810672000050545
reduced_item_only,3,20260823,user_dp,7.0,0.3,0.001897852339221534,0.0022536717714490167,0.02515212981744422,8.008402700070292
