dataset,cutoff,n_copies,matched_mean,matched_sd,dp_mean,dp_sd,paired_difference_mean,paired_difference_sd,relative_loss_percent_from_group_means,copy_relative_loss_percent_mean,all_copies_dp_below_matched
amazon_kindle,10,3,0.01170402046837288,0.0004079797292630792,0.0022875185114297762,0.00010008628883240736,-0.009416501956943104,0.0004414897876677718,80.45527588053002,80.4352126203626,True
ml1m,10,3,0.27254592708059017,0.0012224520003572352,0.2730593517733069,0.001459434619656564,0.0005134246927167574,0.00031130345742047153,-0.1883809815895509,-0.18814264938142103,False
netflix5k5k,10,3,0.17011367086561766,0.0009755304062342633,0.16872013807616507,0.002421202824205744,-0.0013935327894525524,0.0017931822808663635,0.8191774255188575,0.821159285869876,False
amazon_kindle,20,3,0.012652898201759043,0.00030725709544374553,0.0026692836864165045,7.480251976160946e-05,-0.00998361451534254,0.0002619620730126139,78.90377647987863,78.90211027153555,True
ml1m,20,3,0.2596451451975606,0.0006161531479229353,0.25960528376874853,0.0006826993885897648,-3.986142881214535e-05,0.0004854870368344945,0.015352271956304552,0.015278762902542412,False
netflix5k5k,20,3,0.16872037594157008,0.0017093821684622593,0.16801200173185757,0.003782513038644022,-0.0007083742097125182,0.0027846743350784455,0.4198510142946976,0.4241907990172746,False
